id,name,component,tagName,automationPriority,selectorPriority,recommendedSelector,hasTestAttrs,identifierScore,filePath,testAttributes
simple-react-ecommerce_src_pages_Profile_element_td_4l0ewzl7i,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_za9uninki,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_nvpc56dwg,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_fn6j2cdbi,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_r04jsg0jx,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_2x3vl3641,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_gn7utkfnf,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_yq65q5l00,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_1r5xftsbq,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_lhfv8jc0b,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_sx0ncsdh5,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_3iy1titzn,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_z0i9r5ic0,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_ez7pw6kna,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_akmwcttdb,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_228s5syht,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_d4f8knt3s,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_xbzteywpp,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_3hqz55euy,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_cgyle78ie,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_jbtenhens,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_i2q1fzugk,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_j96mqxa0v,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_0uc6yh0hc,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_drbv807pe,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_sn34pf8xx,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_tr_8olig8w9u,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,Profile,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_l5980wfhu,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_td_dy0fk8g0q,⚠️ NEEDS_SEMANTIC_SELECTOR: td,Profile,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_h1_avgequrd9,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,Profile,h1,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_Profile_element_h1_6rct56gsc,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,Profile,h1,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/Profile.tsx,
simple-react-ecommerce_src_pages_AllProducts_element_select_wni2s4z1b,⚠️ NEEDS_SEMANTIC_SELECTOR: select,AllProducts,select,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: select,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/pages/AllProducts.tsx,
simple-react-ecommerce_src_components_ScrollToTopButton_element_button_qkqmklpf2,⚠️ NEEDS_SEMANTIC_SELECTOR: button,ScrollToTopButton,button,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: button,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/ScrollToTopButton.tsx,
simple-react-ecommerce_src_components_Reviews_element_h1_g6dtbg0ow,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,Reviews,h1,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h1,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/Reviews.tsx,
simple-react-ecommerce_src_components_Reviews_element_div_ou6wyr8q3,"[data-testid=""div-element""]",Reviews,div,high,good,"[data-testid=""div-element""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/Reviews.tsx,data-test
simple-react-ecommerce_src_components_Reviews_element_h3_upzzah3ow,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,Reviews,h3,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/Reviews.tsx,
simple-react-ecommerce_src_components_ProductList_element_h2_34rgq5124,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,ProductList,h2,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/ProductList.tsx,
simple-react-ecommerce_src_components_ProductList_element_div_9sq1oyqrv,"[data-testid=""div-prop_title""]",ProductList,div,high,good,"[data-testid=""div-prop_title""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/ProductList.tsx,data-test
simple-react-ecommerce_src_components_ProductCard_element_div_3s8c6v4b7,"[data-testid=""div-element""]",ProductCard,div,high,good,"[data-testid=""div-element""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/ProductCard.tsx,data-test
simple-react-ecommerce_src_components_ProductCard_element_button_8rwa7dg9m,⚠️ NEEDS_SEMANTIC_SELECTOR: button,ProductCard,button,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: button,True,17,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/ProductCard.tsx,data-test
simple-react-ecommerce_src_components_PriceSection_element_h2_b0aasoxqo,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,PriceSection,h2,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/PriceSection.tsx,
simple-react-ecommerce_src_components_PriceSection_element_h2_a0zsx3dod,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,PriceSection,h2,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/PriceSection.tsx,
simple-react-ecommerce_src_components_Navbar_element_input_a12dub7rc,"input[type=""text""]",Navbar,input,high,always,"input[type=""text""]",False,6,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/Navbar.tsx,
simple-react-ecommerce_src_components_Navbar_element_span_8ib1s986b,"[data-testid=""span-login""]",Navbar,span,high,good,"[data-testid=""span-login""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/Navbar.tsx,data-test
simple-react-ecommerce_src_components_Navbar_element_div_j7s8shknt,"[data-testid=""div-element""]",Navbar,div,high,good,"[data-testid=""div-element""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/Navbar.tsx,data-test
simple-react-ecommerce_src_components_Navbar_element_div_x18wmpgu9,"[data-testid=""div-element""]",Navbar,div,high,good,"[data-testid=""div-element""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/Navbar.tsx,data-test
simple-react-ecommerce_src_components_LoginModal_element_div_khbpcy2y1,"[data-testid=""div-prop_text""]",LoginModal,div,high,good,"[data-testid=""div-prop_text""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/LoginModal.tsx,data-test
simple-react-ecommerce_src_components_LoginModal_element_h3_w0w3c0ghc,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,LoginModal,h3,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/LoginModal.tsx,
simple-react-ecommerce_src_components_LoginModal_element_h3_cbu1lf694,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,LoginModal,h3,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/LoginModal.tsx,
simple-react-ecommerce_src_components_LoginModal_element_form_9d3uy9ijh,⚠️ NEEDS_SEMANTIC_SELECTOR: form,LoginModal,form,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: form,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/LoginModal.tsx,
simple-react-ecommerce_src_components_LoginModal_element_input_s05l0gy94,"input[type=""text""]",LoginModal,input,high,always,"input[type=""text""]",True,16,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/LoginModal.tsx,data-test
simple-react-ecommerce_src_components_LoginModal_element_input_hsxa1xj0z,"input[type=""password""]",LoginModal,input,high,always,"input[type=""password""]",True,16,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/LoginModal.tsx,data-test
simple-react-ecommerce_src_components_LoginModal_element_input_gz8clt85x,"input[type=""submit""]",LoginModal,input,high,always,"input[type=""submit""]",True,15,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/LoginModal.tsx,data-test
simple-react-ecommerce_src_components_HeroSection_element_h2_ruwhircyu,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,HeroSection,h2,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/HeroSection.tsx,
simple-react-ecommerce_src_components_HeroSection_element_h3_ck0d3hz8v,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,HeroSection,h3,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/HeroSection.tsx,
simple-react-ecommerce_src_components_FeatureCard_element_h2_g84qtr8xb,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,FeatureCard,h2,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h2,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/FeatureCard.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_div_4l6and6eo,"[data-testid=""div-element""]",CustomPopup,div,high,good,"[data-testid=""div-element""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,data-test
simple-react-ecommerce_src_components_CustomPopup_element_div_l0wk563a6,"[data-testid=""div-element""]",CustomPopup,div,high,good,"[data-testid=""div-element""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,data-test
simple-react-ecommerce_src_components_CustomPopup_element_table_s5ohtmufg,⚠️ NEEDS_SEMANTIC_SELECTOR: table,CustomPopup,table,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: table,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_tbody_qug62amvf,⚠️ NEEDS_SEMANTIC_SELECTOR: tbody,CustomPopup,tbody,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tbody,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_tr_z66g4bepm,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,CustomPopup,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_td_a2ojcemhn,⚠️ NEEDS_SEMANTIC_SELECTOR: td,CustomPopup,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_td_7c2x4ejuq,⚠️ NEEDS_SEMANTIC_SELECTOR: td,CustomPopup,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_tr_p12i9r8c3,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,CustomPopup,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_td_ce0e4bmav,⚠️ NEEDS_SEMANTIC_SELECTOR: td,CustomPopup,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_td_vo5e72e7a,⚠️ NEEDS_SEMANTIC_SELECTOR: td,CustomPopup,td,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,data-test
simple-react-ecommerce_src_components_CustomPopup_element_tr_tqs49vod7,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,CustomPopup,tr,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: tr,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_td_ceh741mgn,⚠️ NEEDS_SEMANTIC_SELECTOR: td,CustomPopup,td,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,
simple-react-ecommerce_src_components_CustomPopup_element_td_v03o3tyxl,⚠️ NEEDS_SEMANTIC_SELECTOR: td,CustomPopup,td,high,never,⚠️ NEEDS_SEMANTIC_SELECTOR: td,True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CustomPopup.tsx,data-test
simple-react-ecommerce_src_components_CartRow_element_h3_lfpsgmj2e,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,CartRow,h3,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CartRow.tsx,
simple-react-ecommerce_src_components_CartRow_element_h3_laljbndir,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,CartRow,h3,medium,never,⚠️ NEEDS_SEMANTIC_SELECTOR: h3,False,0,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CartRow.tsx,
simple-react-ecommerce_src_components_CartRow_element_span_7ud66pwh2,"[data-testid=""span-element""]",CartRow,span,high,good,"[data-testid=""span-element""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CartRow.tsx,data-test
simple-react-ecommerce_src_components_CartRow_element_span_97jde82aa,"[data-testid=""span-$""]",CartRow,span,high,good,"[data-testid=""span-$""]",True,10,/home/pauljcoles/code/cats/ecom/simple-react-ecommerce/src/components/CartRow.tsx,data-test
